id,Label,Weight
1,1A,1
2,2A,5
3,3A,1
4,4A,7
5,5A,4
6,6A,1
7,7A,5
8,8A,1
9,9A,2
10,10A,5
11,11A,1
12,12A,1
13,13A,3
14,14A,3
15,15A,7
16,16A,2
17,17A,5
18,18A,5
19,19A,4
20,20A,2
21,21A,1
22,22A,6
23,23A,2
24,24A,3
25,25A,1
26,26A,4
27,27A,2
28,28A,7
29,1B,4
30,2B,6
31,3B,7
32,4B,2
33,5B,6
34,6B,3
35,7B,4
36,8B,6
37,9B,4
38,10B,7
39,11B,5
40,12B,2
41,13B,6
42,14B,7
43,15B,6
44,16B,6
45,17B,2
46,18B,3
47,19B,7
48,20B,4
49,21B,7
50,22B,5
51,23B,3
52,24B,4
53,25B,3
54,26B,6
55,27B,5
56,28B,3
